trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
32,False,"{'a': 0.002, 'e': 0.9398828867910889}",25,0,-151.6870425225464,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
33,False,"{'a': 0.002, 'e': 0.9380049995307295}",20,0,-45.905789831069846,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
34,False,"{'a': 0.002, 'e': 0.9361308642916188}",20,0,-90.08395888836246,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
35,False,"{'a': 0.002, 'e': 0.9342604735772135}",20,0,-118.84327592768645,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
36,False,"{'a': 0.002, 'e': 0.9323938199059483}",25,0,-62.63143383293276,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
37,False,"{'a': 0.002, 'e': 0.9305308958112057}",20,0,-86.94031673266785,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
38,False,"{'a': 0.002, 'e': 0.9286716938412872}",20,7,-121.02299631572143,"{0: 4, 1: 3, 2: 3, 3: 2, 4: 1}",1
39,False,"{'a': 0.002, 'e': 0.9268162065593822}",20,0,-111.58753080517468,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
40,False,"{'a': 0.002, 'e': 0.9249644265435393}",20,0,-111.06451402854545,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
41,False,"{'a': 0.002, 'e': 0.9231163463866358}",25,0,-211.87012976645957,"{0: 10, 1: 3, 2: 7, 3: 3, 4: 2}",0
42,False,"{'a': 0.002, 'e': 0.9212719586963487}",20,0,-113.42711397524323,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
43,False,"{'a': 0.002, 'e': 0.9194312560951247}",25,0,-19.406165895770275,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",1
44,False,"{'a': 0.002, 'e': 0.9175942312201509}",20,0,-117.87358342154405,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
45,False,"{'a': 0.002, 'e': 0.9157608767233256}",25,0,-169.98681848996742,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
46,False,"{'a': 0.002, 'e': 0.9139311852712282}",25,0,-178.46544584603748,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
47,False,"{'a': 0.002, 'e': 0.9121051495450904}",25,0,-175.20381052110957,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
48,False,"{'a': 0.002, 'e': 0.910282762240767}",30,0,-193.85686930052253,"{0: 18, 1: 3, 2: 4, 3: 2, 4: 3}",0
49,False,"{'a': 0.002, 'e': 0.9084640160687062}",20,5,-52.06249230965145,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
50,False,"{'a': 0.002, 'e': 0.9066489037539209}",20,2,-109.59877499880426,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 2}",1
51,False,"{'a': 0.002, 'e': 0.9048374180359595}",25,0,-75.79252566508403,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
52,False,"{'a': 0.002, 'e': 0.9030295516688768}",25,0,-62.0286013202351,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
53,False,"{'a': 0.002, 'e': 0.9012252974212047}",25,0,-121.73975767937478,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
54,False,"{'a': 0.002, 'e': 0.899424648075924}",25,4,-105.13397578555663,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 1}",1
55,False,"{'a': 0.002, 'e': 0.8976275964304349}",25,0,-226.2785984655538,"{0: 12, 1: 2, 2: 5, 3: 3, 4: 3}",0
56,False,"{'a': 0.002, 'e': 0.8958341352965282}",30,0,-289.5809609370166,"{0: 11, 1: 4, 2: 8, 3: 4, 4: 3}",0
57,False,"{'a': 0.002, 'e': 0.8940442575003572}",20,0,-205.03513367960218,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 5}",0
58,False,"{'a': 0.002, 'e': 0.8922579558824083}",25,0,-198.09590035551673,"{0: 10, 1: 4, 2: 7, 3: 2, 4: 2}",0
59,False,"{'a': 0.002, 'e': 0.8904752232974726}",25,0,-107.71390817576275,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
60,False,"{'a': 0.002, 'e': 0.8886960526146174}",35,0,-198.23115713755672,"{0: 17, 1: 4, 2: 10, 3: 3, 4: 1}",0
61,False,"{'a': 0.002, 'e': 0.8869204367171575}",25,0,-163.70640637358883,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
62,False,"{'a': 0.002, 'e': 0.8851483685026271}",20,0,-63.39503243654869,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
63,False,"{'a': 0.002, 'e': 0.8833798408827509}",30,17,-20.67240908717773,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
64,False,"{'a': 0.002, 'e': 0.8816148467834161}",20,0,-59.554607891814385,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
65,False,"{'a': 0.002, 'e': 0.8798533791446438}",20,0,-66.07678271445066,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
66,False,"{'a': 0.002, 'e': 0.8780954309205613}",20,0,-101.6195646381388,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
67,False,"{'a': 0.002, 'e': 0.8763409950793732}",20,0,-161.3443166510894,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",1
68,False,"{'a': 0.002, 'e': 0.874590064603334}",20,0,-86.80040265527732,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
69,False,"{'a': 0.002, 'e': 0.8728426324887193}",20,3,-22.409505611979732,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 0}",1
70,False,"{'a': 0.002, 'e': 0.8710986917457983}",20,0,-82.72777960509539,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
71,False,"{'a': 0.002, 'e': 0.8693582353988059}",20,1,-127.20380512072283,"{0: 7, 1: 3, 2: 8, 3: 0, 4: 1}",1
72,False,"{'a': 0.002, 'e': 0.867621256485914}",25,0,-113.85873790095505,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
73,False,"{'a': 0.002, 'e': 0.865887748059205}",20,0,-90.21540892052596,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
74,False,"{'a': 0.002, 'e': 0.8641577031846428}",25,0,-126.16455929588656,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
75,False,"{'a': 0.002, 'e': 0.8624311149420455}",20,0,-91.75693224046337,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
76,False,"{'a': 0.002, 'e': 0.8607079764250578}",30,0,-249.31936071621678,"{0: 16, 1: 0, 2: 9, 3: 1, 4: 4}",0
77,False,"{'a': 0.002, 'e': 0.8589882807411234}",20,0,-137.28795151438834,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
78,False,"{'a': 0.002, 'e': 0.8572720210114575}",25,0,-60.711177611023274,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
79,False,"{'a': 0.002, 'e': 0.8555591903710185}",20,0,-201.39712917685563,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 3}",0
80,False,"{'a': 0.002, 'e': 0.8538497819684817}",20,0,-57.86745752092346,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
81,False,"{'a': 0.002, 'e': 0.8521437889662113}",20,0,-70.24804071928197,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
82,False,"{'a': 0.002, 'e': 0.850441204540233}",25,0,-90.0702372070094,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
83,False,"{'a': 0.002, 'e': 0.8487420218802068}",20,9,-44.61981352840432,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 1}",1
84,False,"{'a': 0.002, 'e': 0.8470462341893996}",20,0,-111.50978800097663,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
85,False,"{'a': 0.002, 'e': 0.8453538346846587}",35,0,-109.21159076606948,"{0: 28, 1: 2, 2: 2, 3: 1, 4: 2}",0
86,False,"{'a': 0.002, 'e': 0.8436648165963837}",20,0,-136.06964473924674,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
87,False,"{'a': 0.002, 'e': 0.8419791731684999}",25,5,-67.91805580077282,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",1
88,False,"{'a': 0.002, 'e': 0.8402968976584314}",20,0,-79.00921300223693,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
89,False,"{'a': 0.002, 'e': 0.838617983337074}",25,9,-55.68222521402185,"{0: 9, 1: 4, 2: 1, 3: 2, 4: 0}",1
90,False,"{'a': 0.002, 'e': 0.8369424234887681}",25,2,-58.91868269961827,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 1}",1
91,False,"{'a': 0.002, 'e': 0.835270211411272}",30,0,-120.455429177634,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
92,False,"{'a': 0.002, 'e': 0.8336013404157353}",20,0,-111.32945685963335,"{0: 10, 1: 1, 2: 7, 3: 2, 4: 0}",0
93,False,"{'a': 0.002, 'e': 0.8319358038266718}",20,0,-79.68406032477439,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
94,False,"{'a': 0.002, 'e': 0.8302735949819326}",20,2,-10.355931115605037,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 0}",1
95,False,"{'a': 0.002, 'e': 0.8286147072326806}",25,0,-138.80136720227566,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
96,False,"{'a': 0.002, 'e': 0.8269591339433623}",25,16,-11.332906330287727,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
97,False,"{'a': 0.002, 'e': 0.8253068684916823}",30,0,-56.45399289340872,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",0
98,False,"{'a': 0.002, 'e': 0.8236579042685769}",35,0,-165.5115152123642,"{0: 21, 1: 4, 2: 7, 3: 1, 4: 2}",0
99,False,"{'a': 0.002, 'e': 0.8220122346781865}",20,0,-115.12751193398887,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 3}",0
100,False,"{'a': 0.002, 'e': 0.8203698531378311}",30,0,-132.73425308114528,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
101,False,"{'a': 0.002, 'e': 0.8187307530779818}",30,0,-96.0651505154831,"{0: 22, 1: 1, 2: 4, 3: 2, 4: 1}",0
102,False,"{'a': 0.002, 'e': 0.8170949279422366}",25,0,-20.18549006500832,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
103,False,"{'a': 0.002, 'e': 0.8154623711872927}",30,18,-72.00043764661838,"{0: 6, 1: 2, 2: 3, 3: 0, 4: 1}",1
104,False,"{'a': 0.002, 'e': 0.8138330762829207}",20,0,-28.0017076101671,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
105,False,"{'a': 0.002, 'e': 0.812207036711939}",25,0,-112.7733890152366,"{0: 16, 1: 5, 2: 1, 3: 1, 4: 2}",0
106,False,"{'a': 0.002, 'e': 0.8105842459701871}",20,10,-50.773639626212635,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
107,False,"{'a': 0.002, 'e': 0.8089646975664998}",25,0,-180.55876499220034,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
108,False,"{'a': 0.002, 'e': 0.8073483850226815}",20,14,1.6486091628198232,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.002, 'e': 0.8057353018734796}",20,0,-126.34994779114557,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
110,False,"{'a': 0.002, 'e': 0.8041254416665596}",30,0,-25.59379865656867,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
111,False,"{'a': 0.002, 'e': 0.8025187979624785}",35,0,-112.59911644251528,"{0: 22, 1: 4, 2: 6, 3: 3, 4: 0}",0
112,False,"{'a': 0.002, 'e': 0.8009153643346592}",20,0,-94.54885928645452,"{0: 12, 1: 4, 2: 1, 3: 2, 4: 1}",0
113,False,"{'a': 0.002, 'e': 0.7993151343693651}",20,0,-15.948212694736727,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
114,False,"{'a': 0.002, 'e': 0.7977181016656743}",20,0,-55.52251589346941,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
115,False,"{'a': 0.002, 'e': 0.7961242598354538}",20,6,-21.76739264675054,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 0}",1
116,False,"{'a': 0.002, 'e': 0.794533602503334}",20,0,-55.48819431609453,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
117,False,"{'a': 0.002, 'e': 0.7929461233066837}",30,0,-121.5180577908626,"{0: 21, 1: 3, 2: 2, 3: 2, 4: 2}",0
118,False,"{'a': 0.002, 'e': 0.7913618158955839}",25,12,-41.56551941278415,"{0: 9, 1: 1, 2: 1, 3: 2, 4: 0}",1
119,False,"{'a': 0.002, 'e': 0.7897806739328027}",20,0,-145.8282985063658,"{0: 11, 1: 1, 2: 2, 3: 5, 4: 1}",0
120,False,"{'a': 0.002, 'e': 0.7882026910937704}",30,0,-186.3360601281321,"{0: 18, 1: 0, 2: 7, 3: 3, 4: 2}",0
121,False,"{'a': 0.002, 'e': 0.7866278610665535}",20,0,-3.3499142900894756,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
122,False,"{'a': 0.002, 'e': 0.7850561775518295}",20,0,-69.24039446558159,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
123,False,"{'a': 0.002, 'e': 0.7834876342628625}",25,0,-120.83819919187015,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
124,False,"{'a': 0.002, 'e': 0.7819222249254772}",20,5,-106.05777588588836,"{0: 9, 1: 2, 2: 1, 3: 1, 4: 2}",1
125,False,"{'a': 0.002, 'e': 0.7803599432780343}",25,0,-69.82399226599003,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
126,False,"{'a': 0.002, 'e': 0.7788007830714049}",20,4,-32.95766076938279,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 0}",1
127,False,"{'a': 0.002, 'e': 0.7772447380689461}",20,0,-55.10083389083474,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
128,False,"{'a': 0.002, 'e': 0.775691802046476}",20,12,-86.49769952690848,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 2}",1
129,False,"{'a': 0.002, 'e': 0.7741419687922484}",25,0,-170.52225446750856,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
130,False,"{'a': 0.002, 'e': 0.772595232106928}",30,0,-180.76518501902012,"{0: 17, 1: 2, 2: 7, 3: 2, 4: 2}",0
131,False,"{'a': 0.002, 'e': 0.7710515858035663}",20,0,-95.0330222594221,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
132,False,"{'a': 0.002, 'e': 0.7695110237075758}",20,0,-159.63347846946291,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
133,False,"{'a': 0.002, 'e': 0.7679735396567061}",20,0,-106.54832390085389,"{0: 13, 1: 4, 2: 0, 3: 1, 4: 2}",0
134,False,"{'a': 0.002, 'e': 0.7664391275010192}",20,6,-63.93887836397263,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
135,False,"{'a': 0.002, 'e': 0.764907781102864}",20,13,1.6277273796985647,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.002, 'e': 0.7633794943368531}",25,0,-139.53464186621588,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
137,False,"{'a': 0.002, 'e': 0.7618542610898376}",20,0,-93.19598706922194,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
138,False,"{'a': 0.002, 'e': 0.7603320752608821}",20,0,-105.86875722172329,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
139,False,"{'a': 0.002, 'e': 0.7588129307612413}",20,0,-26.284871036542572,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
140,False,"{'a': 0.002, 'e': 0.7572968215143355}",20,0,-50.13644479917598,"{0: 14, 1: 5, 2: 0, 3: 0, 4: 1}",0
141,False,"{'a': 0.002, 'e': 0.7557837414557255}",25,6,-29.42516295615803,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 0}",1
142,False,"{'a': 0.002, 'e': 0.754273684533089}",25,2,-106.68899938688213,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 3}",1
143,False,"{'a': 0.002, 'e': 0.7527666447061963}",20,0,-7.761424149310179,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
144,False,"{'a': 0.002, 'e': 0.751262615946886}",25,0,-162.28497078685814,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
145,False,"{'a': 0.002, 'e': 0.7497615922390413}",25,0,-123.66104103270894,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
146,False,"{'a': 0.002, 'e': 0.7482635675785653}",20,0,-58.93190206594026,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
147,False,"{'a': 0.002, 'e': 0.7467685359733571}",25,0,-46.71601251026627,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
148,False,"{'a': 0.002, 'e': 0.7452764914432887}",25,0,-49.60161245129568,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
149,False,"{'a': 0.002, 'e': 0.7437874280201796}",20,0,-95.76380579731227,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
150,False,"{'a': 0.002, 'e': 0.7423013397477743}",20,0,-106.01103267374938,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
151,False,"{'a': 0.002, 'e': 0.7408182206817179}",25,7,-29.70685768636191,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 0}",1
