trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",20,8,-113.66224416214753,"{0: 4, 1: 1, 2: 5, 3: 1, 4: 1}",1
2,False,"{'a': 0.002, 'e': 0.9980019986673331}",30,0,-143.55234644891027,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
3,False,"{'a': 0.002, 'e': 0.9960079893439915}",30,0,-112.56510513639734,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.002, 'e': 0.9940179640539353}",20,0,-97.72596001051103,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.002, 'e': 0.9920319148370607}",20,0,-116.40703788761918,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.002, 'e': 0.9900498337491681}",30,0,-168.69151841014173,"{0: 14, 1: 9, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.002, 'e': 0.9880717128619305}",25,0,-95.15448655876823,"{0: 13, 1: 4, 2: 7, 3: 1, 4: 0}",0
8,False,"{'a': 0.002, 'e': 0.9860975442628619}",25,0,-226.50196582178472,"{0: 12, 1: 0, 2: 8, 3: 2, 4: 3}",0
9,False,"{'a': 0.002, 'e': 0.9841273200552851}",25,0,-159.07471859536807,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.002, 'e': 0.9821610323583008}",20,0,-173.45104155819573,"{0: 9, 1: 0, 2: 8, 3: 1, 4: 2}",0
11,False,"{'a': 0.002, 'e': 0.9801986733067553}",30,0,-246.5574859545721,"{0: 16, 1: 1, 2: 8, 3: 1, 4: 4}",0
12,False,"{'a': 0.002, 'e': 0.97824023505121}",20,0,-46.46672856779339,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",1
13,False,"{'a': 0.002, 'e': 0.9762857097579093}",20,2,-51.77800328156893,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 0}",1
14,False,"{'a': 0.002, 'e': 0.9743350896087494}",25,0,-106.95982588247348,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.002, 'e': 0.9723883668012469}",25,0,-110.145507760901,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.002, 'e': 0.9704455335485082}",20,0,-69.18612234449266,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.002, 'e': 0.9685065820791976}",30,15,-44.62755225990926,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 0}",1
18,False,"{'a': 0.002, 'e': 0.9665715046375066}",20,0,-111.78155095437575,"{0: 13, 1: 1, 2: 2, 3: 3, 4: 1}",0
19,False,"{'a': 0.002, 'e': 0.9646402934831231}",20,0,-97.652466615526,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
20,False,"{'a': 0.002, 'e': 0.9627129408911995}",30,0,-132.9148717760805,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
21,False,"{'a': 0.002, 'e': 0.9607894391523232}",25,8,-115.29535092667706,"{0: 9, 1: 1, 2: 5, 3: 0, 4: 2}",1
22,False,"{'a': 0.002, 'e': 0.9588697805724845}",20,7,-50.71475583677813,"{0: 6, 1: 2, 2: 5, 3: 0, 4: 0}",1
23,False,"{'a': 0.002, 'e': 0.9569539574730467}",20,0,-140.20158874510042,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
24,False,"{'a': 0.002, 'e': 0.9550419621907147}",20,0,-122.51017357691991,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
25,False,"{'a': 0.002, 'e': 0.9531337870775047}",20,0,-195.28325718004265,"{0: 9, 1: 5, 2: 0, 3: 3, 4: 3}",0
26,False,"{'a': 0.002, 'e': 0.951229424500714}",25,0,-65.10854538274964,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
27,False,"{'a': 0.002, 'e': 0.9493288668428895}",30,0,-170.42008796602278,"{0: 13, 1: 6, 2: 9, 3: 1, 4: 1}",0
28,False,"{'a': 0.002, 'e': 0.9474321065017983}",20,0,-56.347467046702675,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
29,False,"{'a': 0.002, 'e': 0.9455391358903963}",25,0,-68.9783882547003,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
30,False,"{'a': 0.002, 'e': 0.9436499474367985}",20,0,-60.33076141739664,"{0: 11, 1: 6, 2: 2, 3: 1, 4: 0}",0
31,False,"{'a': 0.002, 'e': 0.9417645335842487}",25,0,-142.80262515988017,"{0: 16, 1: 5, 2: 1, 3: 0, 4: 3}",0
