trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-153.58213894162526,"{0: 12, 1: 4, 2: 5, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-131.62963093145856,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-170.72761775260403,"{0: 11, 1: 4, 2: 8, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.861363421952,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-110.36961977524774,"{0: 17, 1: 2, 2: 10, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-163.40054660618375,"{0: 9, 1: 1, 2: 5, 3: 4, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-46.450575463805755,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.10202243139967,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-125.40904419431841,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.81245445509953,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,14,-1.6594872907365152,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1.0}",35,0,-242.9090752197707,"{0: 13, 1: 6, 2: 13, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,3,-133.40380226859605,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 2}",1
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-179.4155326287808,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-193.5468378053988,"{0: 14, 1: 4, 2: 3, 3: 0, 4: 4}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-191.19245349594252,"{0: 16, 1: 4, 2: 7, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-183.21965976646237,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-178.934705497871,"{0: 20, 1: 1, 2: 4, 3: 2, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-133.8565694181173,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.70980409115435,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-273.9004731891235,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 5}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-104.48285729916611,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-113.7186889535734,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-227.46082444264746,"{0: 14, 1: 3, 2: 10, 3: 0, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-96.5642011815737,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-150.1786602800817,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-125.22392021618776,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-167.54626139910098,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-133.71541658619225,"{0: 15, 1: 3, 2: 10, 3: 2, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-90.56389717298379,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
