trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-198.77774416214052,"{0: 13, 1: 3, 2: 4, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-178.60533765008313,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.04763324738373,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-134.93796022652506,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-30.810273255888585,"{0: 16, 1: 8, 2: 1, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-231.54792856281148,"{0: 12, 1: 7, 2: 7, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.55109397110994,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.65930701271215,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",35,0,-170.02009599026925,"{0: 19, 1: 6, 2: 6, 3: 3, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.27872877693576,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-202.00085401141803,"{0: 11, 1: 5, 2: 3, 3: 4, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,11,-30.39281576721712,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-169.38779514168803,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.39005908483199,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.31422436855053,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
